id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
73543,0,2013/10/3,Danida,436,DANIDA,34.60709816,-10.55015427,Shuleni,0,Lake Nyasa,Mbozi,Ruvuma,10,3,Mbinga,Lituhi,160,FALSE,GeoData Consultants Ltd,VWC,DANIDA,TRUE,1994,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,1
29657,0,2013/1/18,Dwsp,0,DWE,0,-2.00E-08,Mbugani,0,Lake Victoria,Mpilingito,Shinyanga,17,1,Bariadi,Dutwa,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,walimi,other handpump,handpump,wug,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,1
57211,0,2013/3/16,Ministry Of Water,2022,DWE,36.2217849,-2.92763627,Kwa Njarqni,0,Internal,Losinoni,Arusha,2,6,Longido,Ketumbeine,150,TRUE,GeoData Consultants Ltd,VWC,Elang'atadapash water proj,,1978,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,1
33673,200,2013/3/1,Danida,808,DANIDA,36.04863672,-10.6944124,Kwa Maulana Konde,0,Ruvuma / Southern Coast,Misufini,Ruvuma,10,5,Namtumbo,Namabengo,220,TRUE,GeoData Consultants Ltd,VWC,Njalamatata water gravity scheme,TRUE,1982,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,0
36470,0,2013/2/13,Shule,1039,Shule,38.00070587,-4.40056984,Shuleni,0,Pangani,Kitubwa,Kilimanjaro,3,3,Same,Mnyamba,230,TRUE,GeoData Consultants Ltd,VWC,Tangawizi Water Supply,TRUE,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0
74058,0,2013/1/25,Dwsp,0,DWE,0,-2.00E-08,Kilumba,0,Lake Victoria,Mwakimishi,Shinyanga,17,1,Bariadi,Nkoma,0,TRUE,GeoData Consultants Ltd,WUG,,FALSE,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,1
35823,0,2013/3/28,Adra,1445,Adra/ Community,36.82203458,-3.32870672,Samweli Lengwela,0,Pangani,Metto,Arusha,2,7,Meru,Songoro,90,TRUE,GeoData Consultants Ltd,VWC,Maambreni gravity water supply,TRUE,2000,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,0
43864,50,2013/2/12,Government Of Tanzania,1535,Government,36.55769837,-5.30717256,Kwa Sugal,0,Internal,Ngarenaro,Manyara,21,4,Kiteto,Kibaya,200,FALSE,GeoData Consultants Ltd,Water Board,KIUWASSA,FALSE,1997,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,spring,spring,groundwater,other,other,1
35070,0,2013/1/23,Fw,376,FW,38.69951537,-10.63776931,Ringini,0,Ruvuma / Southern Coast,Kilimani,Mtwara,90,33,Masasi,Lukulendi,1,TRUE,GeoData Consultants Ltd,VWC,,TRUE,1974,other,other,other,vwc,user-group,unknown,unknown,salty,salty,dry,dry,shallow well,shallow well,groundwater,other,other,0
34974,0,2011/7/15,Partage,0,DWE,31.75792353,-1.22567849,Kanshambu,0,Lake Victoria,Buhanga,Kagera,18,7,Misenyi,Bwanjai,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,other,other,other,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,spring,spring,groundwater,improved spring,improved spring,0
34064,0,2011/8/18,Hesawa,0,DWE,0,-2.00E-08,Shuleni,0,Lake Tanganyika,Elimu,Mwanza,19,6,Geita,Lwamgasa,0,TRUE,GeoData Consultants Ltd,VWC,,TRUE,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,0
35811,0,2012/10/21,Dwssp,0,DWE,0,-2.00E-08,Gurumbaka,0,Lake Victoria,Gurumbaka,Shinyanga,17,1,Bariadi,Mwadobana,0,FALSE,GeoData Consultants Ltd,Parastatal,,FALSE,0,swn 80,swn 80,handpump,parastatal,parastatal,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,1
36622,20,2013/2/14,Idara Ya Maji,1284,Idara ya maji,34.84286083,-5.73465226,Mashineni,0,Internal,Kaloleni,Singida,13,3,Manyoni,Manyoni,2000,TRUE,GeoData Consultants Ltd,VWC,Manyoni water supply,FALSE,2010,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,0
